label	correction
1	" The sailors rode the breeze clear of the rocks.
"
0	" The weights made the rope stretch over the pulley. -> The weights caused the rope to stretch over the pulley.
"
0	" The mechanical doll wriggled itself loose -> The mechanical doll wriggled free itself.
"
1	" If you had eaten more, you would want less.
"
0	" As you eat the most, you want the least -> The more you eat, the less you want.
"
0	" The more you would want, the less you would eat -> The more you would want, the less you would have to eat.
"
0	" I demand that the more John eat, the more he pays -> I demand that the more John eats, the more he pays.
"
0	" Mary listens to the Grateful Dead, she gets depressed -> Mary listening to the Grateful Dead makes her feel depressed.
"
1	" The angrier Mary got, the more she looked at pictures.
"
0	" The higher the stakes, the lower his expectations are -> The higher the stakes, the lower his expectations become.
"
0	" The more Fred is obnoxious, the less attention you should pay to him -> The more obnoxious Fred becomes, the less attention you should give him.
"
1	" John was lots more obnoxious than Fred.
"
0	" The more people you give beer to, the more people get sick -> The more people you give beer to, the sicker they may become.
"
0	" The more does Bill smoke, the more Susan hates him -> The more Bill smokes, the more Susan dislikes him.
"
0	" The more pictures of him that appear in the news, the more embarrassed John becomes -> The more pictures of him appear in the news, the more embarrassed John becomes.
"
0	" Every senator seems to become more corrupt, as he talks to more lobbyists -> Every senator seems to become more corrupt as they talk to more lobbyists.
"
0	" Who does John visit Sally because he likes -> Why does John visit Sally?
"
1	"  Marianne did not leave.
"
1	" He could not have been working -> He was not working.
"
0	" He can not have been working -> He could not have been working.
"
1	" You will believe Bob -> You should believe Bob.
"
1	" John has not kissed Mary -> John hasn't kissed Mary.
"
1	" I said that never in my life had I seen a place like Bangor -> I have never seen a place like Bangor before.
"
0	" Mickey looked up it -> Mickey looked it up.
"
0	" There tended to be a lot of discussion -> There was a lot of discussion.
"
1	" John tried to be a good boy -> John was trying to be a good boy.
"
1	" John is eager -> John is full of eagerness.
"
1	" We want John to win -> We hope that John will win.
"
0	" The box contained the ball from the tree -> The box contained a ball that was on the tree.
"
1	" The tube was escaped by gas.
"
1	" Water bubbled up out of the kettle -> Bubbles formed as water boiled in the kettle.
"
1	" The tub leaked water -> Water was leaking from the tub.
"
0	" What the water did to the bottle was fill it -> The water filled the bottle.
"
0	" What the water did to the whole bottle was fill it -> The water filled the entire bottle.
"
0	" The tank leaked the fluid free -> The tank was leaking fluid and it was now free.
"
1	" John lay the ball in the box. 
"
1	" John owns the book.
"
1	" We persuaded Mary to leave and Sue to stay.
"
1	"  Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.
"
1	" Mary beautifully plays the violin.
"
0	" 
"
1	" Sue gave to Bill a book.
"
1	" The men will all leave.
"
1	" John went home. 
"
0	" The sentence contains several errors: ""They"" should be replaced with ""she"" to reflect that Mary is being represented to the dean. ""as a genuine linguist"" should be moved to the end of the sentence for proper punctuation and clarity. The verb tense in ""represented"" should match the past tense of the other verbs in the sentence.
"
0	" The sentence contains an error: The subject ""Us"" should be in its plural form ""We.""
"
1	" It is nice to go abroad.
"
1	" Mary intended John to go abroad.
"
1	" I remembered having kissed Mary.
"
0	" The sentence contains an error: The comma after ""won't"" should be removed as it creates a grammatical ambiguity and makes the sentence unclear.
"
1	" John wants to read Fred's story, and I also want to.
"
1	"  We wanted to invite someone, but we couldn't decide who to.
"
1	" Mary will read Fred's story, and Joe will read Holly's.
"
0	" The sentence contains an error: The verb ""should"" should be in its base form as it is being used as a linking verb to connect ""Holly"" and ""not eat cabbage."" The phrase ""that eating cabbage"" can be rewritten as ""when she eats cabbage"" for better clarity.
"
0	" The sentence contains an error: The phrase ""to be introduced"" should be in its past tense form as it refers to a completed action in the past. The verb ""came"" should also be in its past tense form for consistency.
"
1	" If I can, I will work on it.
"
0	" Here are two possible corrections: Joe's neuroses bother his patrons, and Sally bothers them too. Joe's neuroses bother his patrons, but Sally doesn't bother them as much.
"
0	" I know which book José didn't read for class, but I don't know which book Lilly did it for him.
"
0	" This is the book which Bob reviewed, but this is not the one which Fred will do it.
"
0	" I know which book Mag read, but I don't know which book Bob said that you hadn't.
"
0	" Here are two possible corrections: I know which book Mag read, but I don't know which book Bob read my report that you hadn't. I know which book Mag read, and I also know which book Bob read my report that you hadn't.
"
1	" I'm sure I would like him to eat fruit more than I would cookies.
"
0	" Rusty talked about himself only after Mary had talked about him.
"
0	" Fred talked about everything before Rusty had talked about something.
"
1	" John often meets Mary. 
"
1	" The problem perceives easily.
"
1	" A hundred men surrounded the fort.
"
0	" The correct version of the sentence would be ""We elected me as the leader.""
"
1	"  Which report that John was incompetent did he submit?
"
1	" Mary has always preferred lemons to limes.
"
0	" The correct version of the sentence would be ""He let the cats out which were whining.""
"
1	" What did Bill buy?
"
1	" Mary saw the boy walking toward the railroad station.
"
0	" The correct version of the sentence would be ""Proof that the claim had been made was given when John admitted to lying.""
"
0	" The correct version of the sentence would be ""He attributed the fire which destroyed most of my factory to a short circuit caused by an overloaded transducer.""
"
0	" The correct version of the sentence would be ""The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as absurd.""
"
0	" The correct version of the sentence would be ""I want Bill's departure to remain a secret.""
"
0	" The correct version of the sentence would be ""I know a man who Tom drives as does he.""
"
0	" The correct version of the sentence would be ""Drowning cats, which is against the law, are hard to rescue."" or ""It's hard to rescue drowning cats, as it's against the law.""
"
1	"  Muriel said nothing else than that she had been insulted.
"
0	" The correct version of the sentence would be ""Rutherford understands himself.""
"
1	" I feel that Arch will show up.
"
0	" The correct version of the sentence would be ""This set's proof that it is recursive is difficult.""
"
0	" The correct version of the sentence would be ""Henry's madrigals on the lute and sung sound lousy."" or ""The madrigals that Henry plays on the lute and sings sound lousy.""
"
0	" The correct version of the sentence would be ""Tom picked these grapes and I washed some turnips, and Suzie will prepare them."" or ""Tom picked these grapes, I washed some turnips, and Suzie will prepare them.""
"
0	" The correct version of the sentence would be ""Where did you go and who ate what?"" or ""Who ate what and where did you go?""
"
0	" The correct version of the sentence would be ""Whose guardian's employer did we elect as president?"" or ""Who's guardian's employer did we elect as president?""
"
1	" How sane is Peter? 
"
0	" The correct version of the sentence would be ""I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River as well."" or ""My dad and I both live at the places where Route 150 crosses a river, he on the Hudson River and me on the River.""
"
0	" I live at the place where Route 150 crosses the Hudson River and my dad lives there too.
"
0	" The correct version of the sentence would be ""Who is she trying to make up to now?"" or ""To whom is she trying to make up now?""
"
1	" Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.
"
1	" Mike talked about politics yesterday to my friends
"
1	" It was expected by the reporters that the principal would fire some teacher.
"
0	" The correct version of your sentence would be ""Which hat did Mike quip that she never wore?"" The only issue with the original sentence is that it uses ""she"" instead of ""he"" as the pronoun referring to Mike, which could be confusing or incorrect depending on the gender of the person named Mike.
"
1	" Which girl did Mike quip never wore this hat?
"
0	" The correct version of your sentence would be ""We donated wire for the convicts to build cages.""
"
0	" The correct version of your sentence would be ""I won't have any money."" The word ""some"" implies that you have more than one unit of currency, which may not necessarily be true if you only mean that you don't have any money at all. Using the phrase ""any money"" instead of ""some money"" makes it clear that you are referring to a lack of money in general.
"
1	" Do you believe the claim that somebody was looking for something?
"
