label	category
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
1	none
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	semantics
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	none
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	morphology
1	none
1	none
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
1	none
1	none
0	syntax
0	syntax
0	morphology
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
1	none
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	morphology
1	none
0	syntax
0	syntax
0	syntax
1	none
0	morphology
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
1	none
0	syntax
1	none
0	semantics
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	none
1	none
0	morphology
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
1	none
0	syntax
1	none
1	none
0	syntax
1	none
0	none
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
1	none
1	none
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
1	syntax
0	syntax
0	syntax
0	syntax
1	none
1	none
0	syntax
0	syntax
0	syntax
0	syntax
1	none
1	none
0	syntax
0	syntax
1	none
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	none
0	syntax
1	none
0	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	morphology
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
1	none
0	morphology
0	syntax
0	none
0	syntax
1	none
0	syntax
0	syntax
0	none
0	syntax
