label	correction
1	" The sailors rode the breeze clear of the rocks.
"
1	" The weights made the rope stretch over the pulley system.
"
1	" The mechanical doll wriggled itself free.
"
1	" The correct version of the sentence is: ""If you had eaten more, you would want less.""
"
0	" ""The more you eat, the less you want."" This version is more direct and easier to understand.
"
1	" The correct version of the sentence would be: ""The more you want, the less you eat.""
"
1	" The correct version of the sentence is: The more John eats, the more he pays.
"
1	" Here's the corrected sentence: Mary listens to the Grateful Dead, which makes her depressed.
"
1	" The angrier Mary got, the more she stared at pictures.
"
1	" The higher the stakes, the lower his expectations are.
"
1	" The more Fred is obnoxious, the less attention you should pay to him.
"
1	" Here's the corrected sentence: John was much more obnoxious than Fred.
"
1	" The more beer you give to people, the more people get sick.
"
1	" The more Bill smokes, the more Susan hates him.
"
1	" The more pictures of him that appear in the news, the more embarrassed John becomes.
"
1	" Here's the corrected sentence: Every senator seems to become more corrupt as they talk to more lobbyists.
"
1	" The correct version of your sentence would be: Who does John visit Sally because he likes her?
"
1	" The correct version of your sentence is: Marianne left.
"
1	" The correct version of your sentence is: He was not working.
"
1	" The correct version of the sentence is: He couldn't have been working.
"
1	" The correct version of your sentence is ""You will believe Bob.""
"
1	" There is no need to provide a corrected version of your sentence as it is already correct.
"
1	" Here's the corrected sentence: I had never seen a place like Bangor before in my life.
"
1	" The correct version of your sentence is: Mickey looked it up.
"
1	" The correct version of your sentence is: ""There was a lot of discussion.""
"
1	" There is no need to make any changes to your sentence. It is already well-formed and conveys its meaning clearly.
"
1	" The correct version of your sentence is: John is eager to learn.
"
1	" The correct version of your sentence is: We want John to win.
"
1	" The correct version of your sentence is: The box contained a ball from the tree.
"
1	" The tube was escaped by gas. (Corrected sentence)
"
1	" The correct version of your sentence is: Water bubbled up from the kettle.
"
1	" The tub leaked water. (Correct version)
"
1	" The correct version of your sentence is: What the water did to the bottle was fill it up.
"
1	" The correct version of your sentence would be: What the water did to the whole bottle was fill it up.
"
1	" The correct version of your sentence would be: ""The tank leaked free fluid.""
"
1	" The correct version of your sentence is: John laid the ball in the box.
"
1	" The correct sentence is: John owns the book.
"
1	" The correct version of the sentence is: We persuaded Mary to leave and Sue to remain.
"
1	" Here's the corrected sentence: Most people probably consider Klaus guilty of murder, even though the courts didn't find him guilty.
"
1	" The correct version of your sentence is: Mary plays the violin beautifully.
"
1	" Here's the corrected sentence: Clearly, John will probably learn French perfectly immediately.
"
1	" The correct version of your sentence is: Sue gave Bill a book.
"
1	" The men will all leave. (Corrected sentence)
"
1	" The correct version of the sentence is: John went home.
"
1	" The correct version of the sentence would be: They represented Mary to the dean as a genuine linguist.
"
1	" We love them.
"
1	" The correct version of your sentence is: It's nice to go abroad.
"
1	" The correct version of the sentence is: Mary intended John to go abroad.
"
1	" The correct version of your sentence would be: I remembered kissing Mary.
"
1	" The correct version of your sentence is: I can't believe Fred won't either.
"
1	" Your sentence is grammatically correct. Here's the correct version of your sentence: John wants to read Fred's story, and I do too.
"
1	" Here's the corrected sentence: We wanted to invite someone, but we couldn't decide whom to invite.
"
1	" There is no need to make any changes to your sentence. It is already well-constructed and clear.
"
1	" Here's the correct version of your sentence: Mary claimed that Holly shouldn't eat cabbage.
"
1	" Here's the corrected sentence: Mary came to be introduced by the bartender, and I also came to meet her.
"
1	" Here's the correct version of your sentence: If I can, I will work on it.
"
1	" Your sentence is grammatically correct as it stands.
"
1	" Here's the corrected sentence: I know which book JosÃƒÂ© didn't read for class, and which book Lilly did it for him.
"
1	" Here's the corrected sentence: This is the book that Bob reviewed, and this is the one that Fred won't do.
"
1	" Here's the correct version of your sentence: I know which book Mag read, and which book Bob said that you haven't.
"
1	" Your sentence is grammatically correct as it stands.
"
1	" Here's the corrected sentence for you: I'm sure I would like him to eat fruit more than I would like him to eat cookies.
"
1	" Here's the corrected sentence: Rusty talked about himself only after Mary had talked about him.
"
1	" Here's the corrected sentence: Fred talked about everything before Rusty did talk.
"
1	" There's no need to change anything! Your sentence is already perfect.
"
1	" The problem perceives easily. (Corrected sentence)
"
1	" The correct version of the sentence is: One hundred men surrounded the fort.
"
1	" The correct version of the sentence is: We elected I.
"
1	" The correct version of your sentence would be: Which report did John submit that showed him to be incompetent?
"
1	" The correct version of your sentence is: Mary has always preferred limes to lemons.
"
1	" The correct version of the sentence is: He let out the cats that were whining.
"
1	" The correct version of your sentence is: What did Bill buy?
"
1	" The correct version of your sentence is: Mary saw the boy walking towards the railroad station. (Note the spelling of ""towards"" instead of ""toward"".)
"
1	" The correct version of your sentence is: ""A proof that John had lied was given.""
"
1	" Here's the corrected sentence: He attributed the fire to a short circuit caused by an overloaded transducer.
"
1	" The correct version of your sentence would be: The mayor regarded as absurd the proposal to build a sidewalk from Dartmouth to Smith.
"
1	" The correct version of your sentence would be: I want Bill to leave to remain a secret.
"
1	" The correct version of your sentence would be: I know a man who Tom drives.
"
1	" Here's the correct version of your sentence: Drowning cats, which is against the law, can be hard to rescue.
"
1	" Here's the corrected sentence: Muriel said that she had been insulted, without anything else.
"
1	" The correct version of your sentence is: Rutherford understands himself.
"
1	" The correct version of your sentence is: I feel that Arch will appear.
"
1	" The proof that this set is recursive is difficult.
"
0	" The madrigals that Henry plays on the lute and sings sound poorly.
"
1	" Here's the corrected sentence: Tom picked these grapes, and I washed some turnips, and Suzie will prepare them.
"
1	" Here's the correct version of your sentence: Where did you go, and who ate what?
"
1	" The correct version of the sentence would be: ""Which boy's did we elect as guardians' employer president?""
"
1	" The correct version of the sentence is: How sane is Peter?
"
1	" Here's the corrected sentence for you: I live at the place where Route 150 crosses the Hudson River, and my dad lives at the place where Route 150 crosses the River too.
"
1	" Here's the corrected sentence for you: I live at the place where Route 150 crosses the Hudson River, and my dad lives there too.
"
1	" The correct version of your sentence is: Who is she trying to make up with now?
"
1	" The correct version of your sentence would be: Wind was gotten from a plot to negotiate an honorable end to the war in Vietnam.
"
1	" The correct version of your sentence would be: Mike talked about politics with my friends yesterday.
"
1	" Here's the corrected sentence: It was expected by the reporters that the principal would fire some teachers. (Note: I changed ""teacher"" to ""teachers"" because it is plural.)
"
1	" The correct version of the sentence would be: Which hat did Mike say that she never wore?
"
1	" The correct version of your sentence would be: ""Which girl did Mike never quip wear this hat?""
"
1	" The correct version of your sentence could be: We donated wire for the convicts to build bird cages with.
"
1	" The correct version of your sentence is: I won't have any money.
"
1	" The correct sentence is: Do you believe the claim that someone was looking for something? (I changed ""somebody"" to ""someone"" because ""somebody"" can be a bit formal in some contexts, and ""someone"" is more commonly used in everyday language.)
"
1	" Here's the correct version of your sentence: I won't ask you to believe that he tried to force me to give her any money.
"
1	" The correct version of your sentence would be: That Sam sometimes didn't sleep must have pleased someone.
"
1	" The correct version of the sentence is: I talked to Winston about himself.
"
1	" Here's the corrected sentence: That the fuzz wanted him worried John, but that the fuzz didn't want her to worry Mary.
"
1	" The correct version of your sentence would be: I'll work on it if Sam will work on it.
"
1	" There is no need to make any changes to your original sentence. It is already well-formed and conveys your intended meaning clearly.
"
1	" Here's a knife for you to cut up the onions.
"
1	" Here's the correct version of your sentence: Fluffy is sick, which not many people know.
"
1	" The correct version of the sentence is: Maxwell is a quite good doctor.
"
1	" Here's the corrected sentence: The younger woman might have been tall and blonde, and the older one definitely was blonde.
"
1	" Here's the corrected sentence: Sally is tall, and may be blonde, and Sheila is short, and definitely is blonde.
"
1	" Here's the correct version of your sentence: I need to try to finish grading some papers.
"
1	" The socks are ready for you to put on to be planned. (Corrected sentence)
"
1	" The correct version of the sentence is: It is easy to play sonatas on this violin.
"
1	" Here's the correct version of your sentence: This violin is difficult to play sonatas on it.
"
1	" Your sentence is grammatically correct as it is.
"
1	" Here's the corrected sentence: Poor Bill, it had started to rain and he didn't have an umbrella.
"
1	" Here's the corrected sentence: That it was terrible that the cops spoke to the janitor about the robbery yesterday.
"
1	" Here's the corrected sentence: Every student who wears socks is a swinger.
"
1	" The correct version of your sentence is: That girl was given my binoculars by him.
"
1	" Here's the corrected sentence for your reference: Bill didn't accuse Roger of eating anything.
"
1	" Here's the corrected sentence: Nobody who hates to eat anything should not work in a delicatessen.
"
1	" The correct version of the sentence would be: Everybody around here who ever buys anything on credit talks in their sleep.
"
1	" The correct version of your sentence is: I can't remember the name of someone who had misgivings.
"
1	" The correct version of the sentence is: No writer or playwright meets in Vienna.
"
1	" Here's the corrected sentence: None of the writers or playwrights meets in Vienna.
"
1	" The correct version of your sentence is: It is not certain that you will marry any student.
"
1	" The correct version of your sentence would be: Felicia kicked the ball from the bench.
"
1	" The correct version of your sentence would be: I sent the package halfway around the globe.
"
1	" The correct version of the sentence is: Sam gave the ball out of the basket.
"
1	" The correct version of the sentence is: Sam offered the ball out of the basket.
"
1	" The correct version of your sentence is: Park Square has a festive atmosphere.
"
1	" The correct version of the sentence is: ""The worker will have had a job.""
"
1	" The correct version of the sentence is: Nobody can forgive that comment to you.
"
1	" Here's the corrected sentence: We launched the rocket to the moon, but it exploded before it got there.
"
1	" Here's the corrected sentence: Sarah promised Catherine her old car, but then gave it to her son instead.
"
1	" The correct version of your sentence is: I lent the book to Tony partway.
"
1	" Here's the corrected sentence: The farmer loaded the cart with apples.
"
1	" The farmer dumped the cart full of apples.
"
1	" Martha carved a toy for the baby out of wood.
"
1	" The correct version of your sentence would be ""The bread cuts neatly.""
"
1	" The correct version of the sentence should be: Janet broke her finger on Bill.
"
1	" The correct version of the sentence is: Janet broke the cup.
"
1	" The visitor rang the doorbell.
"
1	" The correct version of your sentence is: We pulled free.
"
1	" The correct version of your sentence is: That movie always shocks people up.
"
1	" The correct version of your sentence is: That movie always shocks me.
"
1	" The correct version of your sentence is: Sharon entered the room.
"
1	" The correct version of the sentence is: Bill sent a package to Tom.
"
1	" The correct version of your sentence is: That acorn will grow into an oak tree.
"
1	" The correct version of your sentence is: He turned into a frog.
"
1	" The correct version of your sentence is: I mixed sugar into the butter.
"
1	" Brian threw the stick over the fence.
"
1	" The correct version of the sentence is: Mira condemned Terry for the accidental death.
"
1	" The correct version of your sentence is: We investigated the area for bombs.
"
1	" The correct version of your sentence is: I sensed his eagerness to [insert action/result].
"
1	" The correct version of your sentence is: They praised the dedication of the volunteers.
"
1	" The earth was believed to be round.
"
1	" The correct version of your sentence is: Sarah smiled a captivating smile.
"
1	" The correct version of your sentence is: Sandra beamed a warm welcome.
"
1	" The correct version of your sentence is: You have really lived it up.
"
1	" The correct version of your sentence is: Paperback books lift easily onto the table.
"
1	" The books lifted onto the table. (Corrected sentence)
"
1	" The correct version of your sentence is: Jessica loaded boxes onto the wagon.
"
1	" The correct version of the sentence is: Jessica loaded the boxes onto the wagon.
"
1	" The correct version of the sentence should be: Jessica crammed boxes into the truck.
"
1	" The correct version of your sentence is: Lora buttered the toast.
"
1	" The correct version of the sentence is: Carla shoveled the walkway.
"
1	" The correct version of the sentence is: Nora sent the book to [someone/a place].
"
1	" The correct version of your sentence is: Nora sent Peter the book.
"
1	" The correct version of the sentence is: Carla slid the book gently.
"
1	" The correct version of the sentence would be: Carla slid into the book.
"
1	" The correct version of your sentence is: Amanda carried the package to Pamela.
"
1	" The correct version of your sentence should be: Packages can drive easily to New York.
"
1	" The correct version of the sentence is: ""The chair was pushed.""
"
1	" The correct version of the sentence is: We offered her a job.
"
1	" The correct version of your sentence is: ""A job has been offered.""
"
1	" The correct version of the sentence is: Brown presented Jones with a plaque.
"
1	" The correct version of the sentence is: Carmen bought Mary a dress.
"
1	" The correct sentence is: Carmen obtained the spare part at the hardware store.
"
1	" The correct version of the sentence is: Michelle kept the desk with the papers on it.
"
1	" There's no need to make any changes. The sentence you wrote is already perfect!
"
1	" The needle pierced the cloth.
"
1	" The correct version of your sentence is: Carrie touched that cat gently.
"
1	" To make your sentence more idiomatic, you might consider changing ""whipped"" to ""beat."" Here's the corrected sentence: Herman beat the sugar and cream.
"
1	" The correct version of your sentence is: Linda taped the picture on the wall.
"
1	" The correct version of your sentence is: Linda taped the picture on the wall.
"
1	" The correct version of your sentence is: The child clung to her mother.
"
1	" The correct version of your sentence is: This flyer differs from that flyer.
"
1	" The correct version of your sentence would be: This flyer differs from that flyer apart.
"
1	" The jeweller signed the contract with his name.
"
1	" The gardener cultivated that acorn into an oak tree.
"
1	" The correct version of your sentence is: I shaped a loaf of bread.
"
1	" The children amused themselves.
"
1	" The correct version of your sentence is: Susan whispered the news to someone.
"
1	" The correct version of your sentence is: Susan whispered to Rachel.
"
1	" The correct version of your sentence is: Ellen said that melons were selling well.
"
1	" The correct version of the sentence is: Ellen said about the present situation.
"
1	" Ellen warned Helen against skating on thin ice.
"
1	" The correct version of your sentence is: Cynthia nibbled on a carrot.
"
1	" The correct version of your sentence is: Cynthia chewed gum.
"
1	" The correct version of the sentence is: Paul laughed at Mary's joke.
"
1	" The correct version of your sentence should be: Linda winked her eye.
"
1	" Your sentence is grammatically correct as it is.
"
1	" The correct version of your sentence is: Sharon fainted due to hunger.
"
1	" The witch poisoned the children. (No changes needed.)
"
1	" There is no need to make any changes to your sentence. It is already well-written!
"
1	" The correct version of your sentence is: I squeezed the door.
"
1	" The correct version of your sentence is: Over the fire, a fragrant stew bubbled.
"
1	" Here's the correct version of your sentence: Soaring temperatures are predicted for this weekend.
"
1	" The fort flew with many flags.
"
1	" The voices echoed in the hallway.
"
1	" The stream meanders through the valley.
"
1	" Here's the correct version of your sentence: Yesterday presented itself as a wonderful opportunity.
"
1	" Here's the correct version of your sentence: An excellent opportunity presented itself to him yesterday.
"
1	" The correct version of your sentence would be: Out of the box jumped a little white rabbit.
"
1	" There's no need to make any changes! Penny skated around the rink is a perfectly fine sentence.
"
1	" The correct sentence is: Jackie accompanied Rose to the party.
"
1	" The correct version of your sentence is: ""A lot of information was provided.""
"
1	" The correct version of your sentence is: John offers much advice.
"
1	" The cake that Jones got was more delicious than the one that Smith received.
"
1	" The correct version of your sentence is: We recommend eating less cake and pastry.
"
1	" The correct version of your sentence would be: I saw that the gas can explode.
"
1	" The correct version of the sentence would be ""He washed her hair.""
"
1	" The correct version of your sentence is: ""Wash yourself!""
"
1	" The correct version of your sentence is: They have no ins.
"
1	" Here's the corrected sentence: Some of my jobs are in jeopardy.
"
1	" The correct version of your sentence would be: It was the policeman who met several young students in the park last night.
"
1	" The correct version of your sentence would be: ""Did the policeman meet in the park?""
"
1	" There's no need to change anything! John put old books in the box is a perfectly fine sentence.
"
1	" The monkeys proud of their leader (corrected to ""The monkeys are proud of their leader"").
"
1	" The correct version of your sentence is: John sounded very confident.
"
1	" The correct version of your sentence is: I don't know if I agree.
"
1	" The correct version of the sentence is: John bought a book on the shelf.
"
1	" There is no need to make any changes to your sentence as it is already grammatically correct.
"
1	" The correct version of your sentence is: I forgot how good beer tastes used to be.
"
1	" The correct version of your sentence is: This teacher is a genius.
"
1	" The correct version of your sentence would be: ""A good friend has remained to me by him.""
"
1	" The correct version of your sentence would be: John ate his noodles quietly.
"
1	" The correct version of your sentence is: ""The smith hammered the metal.""
"
1	" The correct version of your sentence is: Sandy removed her ballet slippers.
"
1	" There is no need to change anything in your sentence. It's already perfect!
"
1	" The correct version of your sentence is: Benny worked at a shoe factory while he was a student.
"
1	" Here's the corrected sentence: Everyone hoped that she would sing.
"
1	" The correct version of your sentence is: This was a decisive factor.
"
1	" The correct version of the sentence is: The crocodile devoured a doughnut.
"
1	" The correct version of the sentence is: John fears Bill.
"
1	" The correct version of your sentence would be: John put the bathtub under him.
"
1	" The correct version of your sentence is: John placed Kim behind the garage.
"
1	" The correct version of your sentence is: Kim depends on Sandy.
"
1	" The correct version of the sentence is: John put the book into the box.
"
1	" The correct version of your sentence is: John taught English syntax to new students.
"
1	" The correct version of your sentence is: John regards Bill as a good friend of his.
"
1	" The correct version of your sentence is: Kim put the box in.
"
1	" The chickens seem to be fond of the farmer. (Corrected sentence)
"
1	" The correct version of your sentence is: The rules require that executives be polite.
"
1	" The correct version of your sentence would be: That Fred nominated Bill.
"
1	" The correct version of your sentence is: They were taking a hard look at possible free trade agreements (FTA).
"
1	" The correct version of the sentence would be: John paid me for the book.
"
1	" The committee will study the feasibility of establishing a national computer network.
"
1	" The correct version of your sentence would be ""We made them behave rudely.""
"
1	" The correct version of your sentence is: After reading the pamphlet, Judy threw it away into the garbage can.
"
1	" Here's the corrected sentence for you: Students studying English read Conrad's Heart of Darkness while at university.
"
1	" There is no need to provide a corrected version as your original sentence is already correct.
"
1	" The correct version of your sentence is: Most of the fruit has rotted.
"
1	" The correct version of your sentence is: Neither of the students failed.
"
1	" The correct version of your sentence would be: I drank some water.
"
1	" The correct version of the sentence is: It is golden hair.
"
1	" The correct version of your sentence is: The boy in the doorway waved to his dad.
"
