label	correction
1	" The sailors rode the breeze clear of the rocks.
"
1	" The weights made the rope stretch over the pulley system.
"
1	" The mechanical doll wriggled itself free.
"
1	" The correct version of the sentence is: ""If you had eaten more, you would want less.""
"
1	" The correct version of the sentence is: As you eat more, you want less.
"
1	" The more you would want, the less you would eat. (Corrected sentence)
"
1	" The correct version of your sentence would be: ""The more John eats, the more he pays.""
"
1	" Here's the corrected sentence: Mary listens to the Grateful Dead; she gets depressed.
"
1	" The angrier Mary got, the more she stared at pictures.
"
1	" The higher the stakes, the lower his expectations are.
"
1	" The more Fred is obnoxious, the less attention you should pay to him. (Corrected sentence)
"
1	" Here's the corrected sentence: John was much more obnoxious than Fred.
"
1	" The more beer you give to people, the more people get sick.
"
1	" The more Bill smokes, the more Susan hates him.
"
1	" The more pictures of him that appear in the news, the more embarrassed John becomes.
"
1	" Here's the corrected sentence: Every senator seems to become more corrupt as they talk to more lobbyists.
"
1	" Here's the corrected sentence: Who does John visit Sally because he likes her?
"
1	" The correct version of the sentence is: Marianne left.
"
1	" The correct version of your sentence is: He was not working.
"
1	" The correct version of the sentence is: He couldn't have been working.
"
1	" The correct version of your sentence is: You will believe Bob's words.
"
1	" There is no need to make any changes to your original sentence. It is already perfect!
"
1	" Here's the corrected sentence: I had never seen a place like Bangor before.
"
1	" The correct version of the sentence is: Mickey looked up at it.
"
1	" The correct version of your sentence is: ""There was a lot of discussion.""
"
1	" The correct version of your sentence is: John tried to be good.
"
1	" The correct version of the sentence is: John is eager to learn.
"
1	" The correct version of your sentence is: We want John to win.
"
1	" The correct version of your sentence is: The box contained a ball from the tree.
"
0	" The tube was filled with gas.
"
1	" The correct version of your sentence is: Water bubbled up from the kettle.
"
1	" The tub leaked water. (Corrected sentence)
"
1	" The correct version of your sentence would be: What the water did to the bottle was fill it up.
"
1	" The correct version of the sentence is: What the water did to the bottle was fill it.
"
1	" The correct version of your sentence is: ""The tank leaked fluid free.""
"
1	" The correct version of the sentence is: John laid the ball in the box.
"
1	" The correct version of the sentence is: John owns the book.
"
1	" There's no need to make any changes. The sentence you wrote is already perfect!
"
1	" Here's the corrected sentence: Most people probably consider Klaus guilty of murder, even though the courts didn't actually find him guilty.
"
1	" The correct version of your sentence is: Mary plays the violin beautifully.
"
1	" Here's the corrected version of your sentence: Clearly, John will probably learn French perfectly immediately.
"
1	" The correct version of your sentence is: Sue gave Bill a book.
"
1	" The men will all leave. (No correction needed.)
"
1	" The correct version of your sentence would be simply ""John went home."" There is no need to add anything else.
"
1	" To make it more idiomatic, you could replace ""represented seriously"" with ""were represented as a genuine linguist."" Here's the corrected sentence: They were represented as a genuine linguist to the dean by Mary.
"
0	" We love them.
"
1	" The correct version of your sentence is: It is nice to travel abroad.
"
1	" The correct version of your sentence is: Mary intended John to go abroad.
"
1	" The correct version of your sentence is: I remembered kissing Mary.
"
1	" The correct version of the sentence is: I can't believe Fred won't either.
"
1	" Here's the correct version of your sentence: John wants to read Fred's story, and I do too.
"
1	" Here's the correct version of your sentence: We wanted to invite someone, but we couldn't decide whom to invite.
"
1	" There's no need to make any changes. Your sentence is already perfect!
"
1	" Here's the correct version of your sentence: Mary claimed that Holly shouldn't eat cabbage.
"
1	" Here's the corrected version of your sentence: Mary came to be introduced by the bartender, and I also came to be introduced.
"
1	" The correct version of your sentence is: ""If I can, I will work on it.""
"
1	" Your sentence is grammatically correct as it stands.
"
1	" Here's the corrected sentence: I know which book José didn't read for class, and which book Lilly read it for him.
"
1	" Here's the corrected sentence: This is the book that Bob reviewed, and this is the one that Fred won't do.
"
1	" Here's the corrected sentence: I know which book Mag read, and which book Bob said that you haven't.
"
1	" Here's the corrected sentence: I know which book Mag read, and which book Bob read my report that you hadn't yet.
"
1	" Here's the correct version of your sentence: I'm sure I would like him to eat more fruit than cookies.
"
1	" Here's the corrected sentence: Rusty talked about himself only after Mary had talked about him.
"
1	" Here's the correct version of your sentence: Fred talked about everything before Rusty did talk.
"
1	" There's no need to change anything! John often meets Mary is a perfectly fine sentence.
"
1	" The problem perceives easily. (Corrected sentence)
"
1	" The correct version of your sentence is: One hundred men surrounded the fort.
"
0	" Here is the correct version of your sentence: We elected me as chairperson of the board.
"
1	" The correct version of the sentence would be: Which report did John submit that showed him to be incompetent?
"
1	" The correct version of your sentence is: Mary has always preferred limes to lemons.
"
1	" The correct version of your sentence is: He let the cats out that were whining.
"
1	" The correct version of your sentence is: What did Bill buy?
"
1	" The correct version of your sentence is: Mary saw the boy walking towards the railroad station.
"
1	" Here's the corrected sentence: A proof that John had lied was given to support the claim that he made a false statement.
"
1	" Here's the corrected sentence: He attributed the fire to a short circuit caused by an overloaded transducer, which destroyed most of his factory.
"
1	" The correct version of your sentence would be: ""The mayor regarded as absurd the proposal to build a sidewalk from Dartmouth to Smith.""
"
1	" The correct version of your sentence would be: I want Bill to leave to remain a secret.
"
1	" The correct version of your sentence would be: I know a man who Tom drives.
"
1	" Here's the corrected sentence for you: Drowning cats, which is against the law, can be hard to rescue.
"
1	" Here's the corrected sentence: Muriel said that she had been insulted, without anything else.
"
1	" Here's the corrected sentence for you: Rutherford understands himself.
"
1	" The correct version of your sentence is: I think Arch will show up.
"
1	" The proof that this set is recursive is difficult.
"
1	" The madrigals which Henry plays on the lute and sings sound terrible.
"
1	" Here's the corrected sentence: Tom picked these grapes, and I washed some turnips, and Suzie will prepare them.
"
1	" Here's a possible corrected version: ""Where did you go, and what did you eat?""
"
1	" The correct version of the sentence would be: ""Which boy's did we elect as guardian's employer president?""
"
1	" The correct version of the sentence is: How sane is Peter?
"
1	" Your sentence is grammatically correct as written.
"
1	" Your sentence is grammatically correct as it stands.
"
1	" The correct version of your sentence is: Who is she trying to make up with now?
"
1	" The correct version of your sentence would be: Wind was gotten out of a plot to negotiate an honorable end to the war in Vietnam.
"
1	" The correct version of your sentence would be: Mike talked about politics with my friends yesterday.
"
1	" The correct version of the sentence would be: It was expected by the reporters that the principal would fire some teachers. (Note the plural form of ""teacher"" to match the phrase ""some teachers."")
"
1	" The correct version of the sentence should be: Which hat did Mike say that she never wore?
"
1	" The correct version of your sentence is: Which girl did Mike never quip wear this hat?
"
1	" The correct version of the sentence would be: We donated wire for the convicts to build cages with.
"
1	" The correct version of your sentence is: I won't have any money.
"
1	" The correct version of your sentence is: Do you believe the claim that someone was looking for something? (I changed ""somebody"" to ""someone"" because ""somebody"" can be perceived as a bit formal or old-fashioned in some contexts.)
"
1	" Here's the corrected sentence for clarity purposes: I won't ask you to believe that he tried to force me to give her any money.
"
1	" Here's the corrected sentence: That Sam sometimes didn't sleep must have pleased someone.
"
1	" The correct version of your sentence is: I talked to Winston about himself.
"
1	" Here's the corrected sentence: That the fuzz wanted him worried John, but that the fuzz didn't want her to worry Mary.
"
1	" The correct version of your sentence is: I'll work on it if Sam will be working on it too.
"
1	" There's no need to change anything! Your sentence is already perfect as it is.
"
1	" Here's a knife with which you can cut up the onions.
"
1	" The correct version of your sentence is: Fluffy is sick, which not many people know.
"
1	" The correct version of your sentence is: Maxwell is a quite skilled doctor.
"
1	" Here's the corrected sentence: The younger woman might have been tall and blonde, and the older one definitely was blonde.
"
1	" Here's the corrected sentence: Sally may be tall and blonde, and Sheila is short and definitely blonde.
"
1	" Here's the corrected sentence: I have to try finishing grading some papers.
"
1	" The socks are ready for you to put on to be planned. (Corrected sentence)
"
1	" The correct version of the sentence is: It is easy to play sonatas on this violin.
"
1	" Here's the corrected sentence for you: This violin is difficult to play sonatas on it.
"
0	" My mother is easy to please my father, and...
"
1	" The correct version of the sentence is: Poor Bill, it had started to rain and he had no umbrella.
"
1	" Here's the corrected sentence: That it was terrible that the cops spoke to the janitor about the robbery yesterday.
"
0	" For example, you might consider revising it to make it more clear that ""every student"" is a collective noun, rather than referring to individual students. Here's one possible revision: Every student is a swinger, and he wears socks.
"
1	" The correct version of your sentence is: That girl was given my binoculars by him.
"
1	" Here's the corrected sentence for your reference: Bill didn't accuse Roger of eating anything.
"
1	" The correct version of your sentence is: ""Nobody who hates to eat anything should not work in a delicatessen.""
"
1	" Here's the corrected sentence: Everybody around here who ever buys anything on credit talks in their sleep.
"
1	" Here's the corrected sentence: I can't remember the name of someone who had misgivings.
"
1	" The correct version of the sentence is: ""No writer or playwright meets in Vienna.""
"
1	" Here's the corrected sentence for you: None of the writers or playwrights meets in Vienna.
"
1	" The correct version of the sentence is: It is not certain that you will marry any student.
"
1	" The correct version of the sentence would be: Felicia kicked the ball from the bench.
"
1	" The correct version of your sentence is: I sent the package halfway around the world.
"
1	" The correct version of the sentence is: Sam gave the ball out of the basket.
"
1	" The correct version of the sentence is: Sam offered the ball out of the basket.
"
1	" The correct version of your sentence is: Park Square has a festive atmosphere.
"
1	" The worker will have a job. (Corrected sentence)
"
1	" The correct version of the sentence is: ""Nobody can forgive that comment to you.""
"
1	" Your sentence is grammatically correct as it stands.
"
1	" The correct version of the sentence is: Sarah promised Catherine her old car, but then gave it to her son instead.
"
1	" The correct version of your sentence is: I lent the book to Tony partway.
"
1	" The farmer loaded the cart with apples.
"
1	" The farmer dumped the cart full of apples.
"
1	" Here's the corrected sentence: Martha carved a toy for the baby out of wood.
"
1	" The bread cuts easily. (No changes needed.)
"
1	" The correct version of your sentence would be: Janet broke her finger on Bill.
"
1	" The correct version of the sentence is: Janet broke the cup.
"
1	" The visitor rung the bell (corrected to the past tense of ""ring"").
"
1	" The correct version of your sentence is: We pulled free.
"
1	" The correct version of your sentence is: That movie always shocks people up.
"
1	" The correct version of your sentence is ""That movie always shocks me.""
"
1	" The correct version of your sentence is: Sharon entered the room.
"
1	" The correct version of your sentence is: Bill sent a package to Tom.
"
1	" There's no need to change anything! That acorn will grow into an oak tree is a perfectly fine sentence.
"
1	" The correct version of your sentence is: He turned into a frog.
"
1	" There's no need to change anything! Your sentence is already perfect as it is.
"
1	" Brian threw the stick over the fence.
"
1	" The correct version of the sentence is: Mira condemned Terry for the accident.
"
1	" The correct version of your sentence is: We investigated the area for bombs.
"
1	" The correct version of your sentence is: I sensed his eagerness.
"
1	" The correct version of your sentence is: They praised the dedication shown by the volunteers.
"
1	" The earth was believed to be round.
"
1	" The correct version of your sentence is: Sarah smiled a captivating smile.
"
1	" The correct version of your sentence is: Sandra beamed a warm welcome.
"
1	" The correct version of the sentence is: You have really lived it up.
"
1	" The correct version of your sentence is: Paperback books lift easily onto the table.
"
1	" The books lifted onto the table. (Corrected sentence)
"
1	" The correct version of the sentence is: Jessica loaded the boxes under the wagon.
"
1	" The correct version of your sentence is: Jessica loaded the boxes onto the wagon.
"
1	" The correct version of the sentence should be: Jessica crammed boxes into the truck.
"
1	" The correct version of the sentence is: Lora buttered the toast.
"
1	" The correct version of your sentence is: Carla shoveled the walkway.
"
1	" The correct version of your sentence is: Nora sent the book to [someone/a place].
"
1	" The correct sentence is: Nora sent Peter the book.
"
1	" The correct version of your sentence is: Carla slid the book gently.
"
1	" The correct version of the sentence would be: Carla slid into the book.
"
1	" The corrected sentence is: Amanda carried the package to Pamela's house.
"
1	" The correct version of your sentence should be: Packages can drive easily to New York.
"
1	" The correct version of your sentence would be ""The chair pushed me.""
"
1	" The correct version of the sentence is: We offered her a job.
"
1	" The correct version of your sentence is: ""A job has been offered.""
"
1	" The correct version of the sentence is: Brown presented Jones with a plaque.
"
1	" The correct version of your sentence is: Carmen bought Mary a dress.
"
1	" The correct version of your sentence is: Carmen obtained the spare part from the hardware store.
"
1	" The correct version of the sentence would be: Michelle kept the desk with the papers on it.
"
1	" There is no need to make any changes to your sentence as it is already correct. However, if you'd like me to suggest a more formal or precise way of expressing the same idea, I can certainly do so. Would you like me to do that?
"
1	" The needle pierced the cloth.
"
1	" The correct version of your sentence would be: Carrie touched that cat gently.
"
1	" The correct version of the sentence is: Herman whipped the cream and sugar.
"
1	" The correct version of your sentence is: Linda taped the picture on the wall.
"
1	" The correct version of your sentence is: Linda taped the picture on the wall.
"
1	" The child clung to her mother.
"
1	" The correct version of your sentence is: This flyer differs from that flyer.
"
1	" The correct version of your sentence would be: This flyer differs from that flyer apart.
"
1	" The correct version of the sentence would be: ""The jeweller signed the contract with his name.""
"
1	" The gardener grew that acorn into an oak tree.
"
1	" The correct version of your sentence is: I shaped a loaf of bread.
"
1	" The correct version of your sentence is: The children amused themselves.
"
1	" The correct version of your sentence is: Susan whispered the news to someone.
"
1	" The correct version of your sentence would be: Susan whispered to Rachel.
"
1	" Ellen said that melons were selling well.
"
1	" The correct version of your sentence is: Ellen said about the present situation.
"
1	" The correct sentence is: Ellen warned Helen not to skate on thin ice.
"
1	" The correct version of the sentence is: Cynthia nibbled on a carrot.
"
1	" The correct version of the sentence is: Cynthia chewed gum.
"
1	" The correct version of your sentence is: Paul laughed at Mary's joke.
"
0	" Here's the correct version of your sentence: Linda winked her eye.
"
1	" Your sentence is grammatically correct as it is.
"
1	" The correct version of your sentence is: Sharon fainted due to hunger.
"
1	" The witch poisoned the children.
"
1	" The correct version of your sentence is: A grandfather clock ticked in the hallway.
"
1	" The correct version of the sentence is: I squeezed the door.
"
1	" Here's the corrected sentence: Over the fire, a fragrant stew bubbled.
"
1	" The correct version of your sentence is: High temperatures are predicted for this weekend.
"
1	" The fort flew with many flags.
"
1	" The voices echoed down the hall.
"
1	" The stream winds through the valley.
"
1	" The correct version of your sentence would be: Yesterday presented itself as a wonderful opportunity.
"
1	" Here's the corrected sentence: A wonderful opportunity presented itself to him the previous day.
"
0	" The correct version of the sentence is: A little white rabbit jumped out of the box.
"
1	" There's no need to make any changes. Penny skated around the rink is a well-formed sentence in English.
"
1	" The correct version of the sentence is: Jackie accompanied Rose to the party.
"
0	" The corrected sentence would be: much information was provided. 
"
1	" The correct version of your sentence is: John offers much advice.
"
1	" The cake that Jones got was more delicious than the one that Smith received.
"
1	" The correct version of your sentence is: We recommend eating less cake and pastry.
"
1	" The correct version of your sentence is: I saw that the gas can explode.
"
1	" The correct version of the sentence would be: He washed her hair.
"
1	" The correct version of your sentence is: ""Wash yourself!""
"
1	" The correct version of the sentence is: They have no ins.
"
1	" Here's the corrected sentence for you: Some of my jobs are in jeopardy.
"
1	" Here's the corrected sentence: It was the policeman who met several young students in the park last night.
"
1	" The correct version of your sentence would be: ""Did the policeman meet in the park?""
"
1	" The correct version of your sentence is: John put old books into the box.
"
1	" The monkeys proud of their leader should be The monkeys are proud of their leader.
"
1	" The correct version of your sentence is: John sounded very confident.
"
1	" The correct version of your sentence is: I don't know if I agree.
"
1	" The correct version of the sentence should be: John bought a book on the shelf.
"
1	" The correct version of the sentence is: John called the president a foolish person.
"
1	" The correct version of your sentence would be: I forgot how good beer tastes used to be.
"
1	" There is no need to make any changes to your original sentence. It is already perfect!
"
1	" The correct version of your sentence would be: ""A good friend has remained to me by him.""
"
1	" Here's the corrected sentence: John ate his noodles quietly.
"
1	" The correct version of the sentence is: ""A blacksmith hammered the metal.""
"
1	" The correct version of your sentence is: Sandy removed her ballet slippers.
"
1	" The correct version of your sentence is: This week will be difficult for us.
"
1	" The correct version of your sentence is: Benny worked at a shoe factory while he was a student.
"
1	" The correct version of your sentence is: Everyone hoped that she would sing.
"
1	" Here's the corrected sentence: This was a decisive factor.
"
1	" The crocodile devoured a doughnut.
"
1	" The correct version of your sentence is: John fears Bill.
"
1	" The correct version of the sentence should be: John put the bathtub under.
"
1	" The correct version of the sentence is: John placed Kim behind the garage.
"
1	" The correct version of your sentence is: Kim depends on Sandy.
"
1	" There's no need to provide a corrected version; your original sentence is already perfect!
"
1	" The correct version of your sentence is: John taught new students English syntax.
"
1	" The correct version of your sentence is: John regards Bill as a good friend of his.
"
1	" The correct version of the sentence is: Kim put the box in.
"
1	" The chickens seem to be fond of the farmer. (Corrected sentence)
"
1	" The correct version of your sentence is: The rules require that executives be polite.
"
1	" The correct version of your sentence would be: That Fred nominated Bill.
"
1	" The correct version of your sentence is: They were taking a hard look at possible free trade agreements (FTA).
"
1	" The correct version of your sentence would be: John paid me for the book.
"
1	" The committee will study the feasibility of establishing a national computer network.
"
1	" The correct version of your sentence is: We made them be impolite.
"
1	" The correct version of the sentence is: After reading the pamphlet, Judy threw it away into the garbage can.
"
1	" Here's the corrected sentence for you: Students studying English read Conrad's Heart of Darkness while at university.
"
1	" The correct version of your sentence is: I read some of the book.
"
1	" The correct version of your sentence is: Most of the fruit has rotted.
"
1	" The correct version of your sentence is: Neither of the students failed.
"
1	" The correct version of your sentence is: I drank some water.
"
1	" The correct version of the sentence is: It is golden hair.
"
1	" The correct version of your sentence is: The boy standing in the doorway waved to his father.
"
1	" The correct version of the sentence is: That dog is so ferocious, it even tried to bite its own tail.
"
1	" He washed himself.
"
