label	explanation	correction
0	" The grammar mistake is that ""clear of the rocks"" is a prepositional phrase and should be separated from the main clause by a comma. "	" The correct version of the sentence is: ""The sailors rode the breeze clear of the rocks.""
"
0	" The grammar mistake is that ""made"" is in the past tense and should be changed to the present tense to match the verb ""stretch"". "	" The correct version of the sentence is: ""The weights stretch the rope over the pulley.""
"
0	" The grammar mistake is that ""itself"" is not necessary and should be removed. "	" The correct version of the sentence is: ""The mechanical doll wriggled loose.""
"
1	 None. 	" None
"
0	" The grammar mistake is that the sentence is not grammatically correct in Standard English. The sentence is grammatically correct and conveys that as you eat less food, you feel hungrier and want more food. ""Eat less"" is the present tense form of the verb ""eat"" in the if-clause, and ""Want more"" is the result in the then-clause. The word ""less"" is used to compare two amounts of food and convey that as you eat less, you feel hungrier and want more. In Standard English, the typical order for a conditional sentence is: ""If + subject + present tense verb in the if-clause, then + subject + past tense verb in the then-clause"". "	" The correct version of the sentence is: ""As you eat less, you want more.""
"
1	 None. 	" The correct version of the sentence is: ""The more you would want, the less you would eat.""
"
0	" There are two grammar mistakes in your sentence: The verb ""demand"" should be in the present tense, not the present perfect tense. The correct form is ""demand"" instead of ""demanded"". The sentence is missing an auxiliary verb to form the conditional sentence correctly. The correct form should be ""The more John eats, the more he pays"" or ""The more John eats, the more he will pay"". "	" The correct version of the sentence is: ""I demand that the more John eats, the more he pays."" (Note that ""demand"" should be in the present tense and the sentence should use the present tense form of the verb ""eat"" and the appropriate conditional construction to express the conditional meaning.)
"
0	" There are two grammar mistakes in your sentence: The verb ""listens"" should be in the present tense, not the present perfect tense. The correct form is ""listens"" instead of ""listened"". The sentence is missing a comma to separate the independent clause from the dependent clause. The correct form should be ""Mary listens to the Grateful Dead, she gets depressed"" or ""Mary listens to the Grateful Dead. She gets depressed."" "	" The correct version of the sentence is: ""Mary listens to the Grateful Dead. She gets depressed."" (Note that ""listens"" should be in the present tense and a comma should be used to separate the independent and dependent clauses.)
"
1	 None. 	" The correct version of the sentence is: ""The angrier Mary got, the more she looked at pictures.""
"
0	" There is a grammar mistake in your sentence: The word ""stakes"" is an uncountable noun, which means it should not be used with the indefinite article ""a/an"". The correct form should be ""The higher the stakes, the lower his expectations are"" or ""The higher the stakes are, the lower his expectations are"". "	" The correct version of the sentence is: ""The higher the stakes are, the lower his expectations are."" (Note that ""stakes"" should not be preceded by an indefinite article and the verb tense of the second clause should be consistent with the first clause.)
"
0	" There are two grammar mistakes in your sentence: The verb ""is"" should be in the present tense, not the present continuous tense. The correct form is ""is"" instead of ""is being"". The sentence is missing an auxiliary verb to form the negative sentence correctly. The correct form should be ""The more Fred is obnoxious, the less attention you should pay to him"" or ""The more Fred is obnoxious, the less attention you shouldn't pay to him"". "	" The correct version of the sentence is: ""The more Fred is obnoxious, the less attention you shouldn't pay to him."" (Note that ""is"" should be in the present tense and the sentence should use the appropriate negative construction to express the negative meaning.)
"
0	" There is a grammar mistake in your sentence: The word ""lots"" should be followed by a noun or a pronoun to complete the comparison. The correct form should be ""John was much more obnoxious than Fred"" or ""John was a lot more obnoxious than Fred"". "	" The correct version of the sentence is: ""John was much more obnoxious than Fred."" (Note that ""lots"" should be followed by a noun or pronoun to complete the comparison and ""more"" should be used instead of ""much"" to compare the degree of obnoxiousness.)
"
